,primary key,before,after
0,7,동호로 241,서울 중구 동호로 241
0,(사)전국경제인연합회,여의대로 24,서울 영등포구 여의대로 24
0,(유)유니북스,서울특별시 강남구 논현로 164(도곡동 514-2),
0,(재)우체국시설관리단,서울 광진구 강변역로 2,서울 광진구 강변역로 2
0,(재)원불교 서울교당,한강대로40가길 24 (한강로2가 55 ),
0,(재)천주교서울대교구유지재단,명동길 74(명동2가),
0,(주) 삼천리이엔지,동광로 78(방배동 810-2),
0,(주)솟대촌,,서울 성북구 개운사길 83-15
0,(주)KH바텍,반포대로 18(서초동 1451-51),
0,(주)LF,서울특별시 강남구 압구정로 230(신사동 617-3),
0,(주)SERVEONE) (주)서브원,필운대로 80(옥인동),
0,(주)가든파이브 라이프,충민로 66(문정동 516),
0,(주)단성사,돈화문로 26(묘동),
0,(주)대성엠지엠,서울특별시 동대문구 왕산로 128(용두동 787),
0,(주)대성엠지엠 (동의보감타워),왕산로 128(용두동 787),
0,(주)대윤기업,"영동대로96길 34(삼성동 170 ,대윤빌딩 )",
0,(주)대화파트너스,남부순환로1773(봉천동 893-12),
0,(주)대흥교통,양재대로 116-1(염곡동 300-2),
0,(주)더파이낸셜어드바이저리그룹,국제금융로 10(여의도동 23 ),
0,(주)동승에이치엠씨,서울 종로구 청계천로 279,서울 종로구 청계천로 279
0,(주)듀델코리아,서울 구로구 개봉로6길 12-5 KT개봉지사 4층,
0,(주)마스턴제이호위탁관리부동산㈜,새문안로5길 31(도렴동),
0,(주)메인개발(르미에르빌딩),청진동 166,
0,(주)보라매인베스트먼트,서울특별시 영등포구 신풍로 93(신길동 2363),
0,(주)비와이엔블랙야크,서울특별시 서초구 바우뫼로 201(양재동 5-6),
0,(주)삼일기업공사,서울특별시 강남구 테헤란로7길 21(역삼동 635-1),
0,(주)서브원GS타워,논현로 508(역삼동 679),
0,(주)성풍건설,서울특별시 강남구 (압구정동 479),
0,(주)수성엔지니어링,정의로8길 13,서울 송파구 정의로8길 13
0,(주)신안관광-리베라호텔시설,영동대로 737(청담동 53-7),
0,(주)에스앤아이코퍼레이션,서울특별시 강남구 논현로 508(역삼동 679),
0,(주)옵티멈,올림픽로35가길(신천동 7-12),
0,(주)이랜드NC강서점(6층 재무팀),강서로56길 17(NC강서점 ),
0,(주)청하고려인삼,"자하문로 280(부암동, 금박B/D)",
0,(주)케이브이지제2호기업부동산,남부순환로 2477(서초동 1424-2),
0,(주)케이씨씨,사평대로 344(서초동 1301-4),
0,(주)코람코가치부가형부동산제2의1호위탁관리자부동산투자회사,서울시 강남구 역삼동 826,서울 강남구 강남대로 374
0,(주)코람코더원강남제1호위탁관리부동산투자회사,서울특별시 서초구 강남대로 369(서초동 1328-3),
0,(주)코람코지속성장오피스제1의2호위탁관리자부동산투자회사,서울특별시 서초구 남부순환로 2620(양재동 11-149),
0,(주)코크렙양재위탁관리부동산,남부순환로 2620(양재동 11-149),
0,(주)코크렙제31호위탁관리부동산투자회사,강남대로 369(서초동 1328-3),
0,(주)태안모터스,서울특별시 강남구 논현로18길 9(개포동 1237),
0,(주)태영건설,서울특별시 동대문구 (장안동 291-1),
0,(주)튼튼영어,논현로 164(도곡동 514-2),
0,"(주)파크하비오, 파크하비오 오피스텔 관리사무소",송파대로 111(문정동 618),
0,(주)한국투자사모종로플레이스,창경궁로 120(인의동),
0,(주)한샘,성암로 179 (상암동),
0,(주)한화63시티,강남대로 311(서초동 1338-12),
0,(주)효성,"강남대로51길 10, (지하)7층 (서초동 1337-6)",
0,(주)효성 (마케팅팀),서울특별시 강남구 광평로 281(수서동 715),
0,(주)휴세코,테헤란로 117(역삼동 649-11),
0,(주롯데건설,서울특별시 서초구 (잠원동 27-2),
0,(학)일송학원강남성심병원,서울특별시 영등포구 시흥대로 665(대림동 964-10),
0,9BRICK HOTEL(호텔),홍익로5길 32,서울 마포구 홍익로5길 32
0,AK프라자,회현동1가 194-19,
0,aone청담빌딩,도산대로55길 48(청담동 83-2),
0,BAUHAUS,답십리로 288(장안동 368-1),
0,BK타워,법원로11길 28 (문정동 640-10) 키움건설(주) / BK타워,
0,CGV수유점,서울특별시 강북구 도봉로 399(수유동 168-12),
0,CJ개발주식회사,상암산로 66 (상암동),
0,CJ미래경영연구원,중구 동호로20 나길 16,
0,CORNER50,연무장11길 8(성수동2가),
0,DDMC,매봉산로 75,서울 마포구 매봉산로 75
0,GS한강에클라트,"이촌로 1 (한강로3가, GS한강에클라트)",
0,G밸리 더리브스마트타워 신축공사현장,가산디지털2로 36(가산동 327-5),
0,HDC현대산업개발,서울 용산구 한강대로23길 55 현대아이파크몰,서울 용산구 한강대로23길 55
0,IBK파이낸스타워,을지로2가 161-1,
0,IFC관리단,서울 영등포구 국제금융로 10,서울 영등포구 국제금융로 10
0,IT벤처타워,중대로 135,서울 송파구 중대로 135
0,JEI PLATZ(재능유통),가산디지털1로 186(가산동 459-11),
0,KBS미디어센타,매봉산로 45 (상암동),
0,KB국민은행,의사당대로 141(여의도동 45),
0,KCC엠파이어리버,양화로 26 (합정동),
0,KGIT센터관리단,월드컵북로 402 (상암동),
0,KING 프라자,마들로 11가길 16,서울 도봉구 마들로11가길 16
0,KMH사옥,고덕동 38-12,서울 강동구 고덕비즈밸리로6길 90
0,KOTRA,헌릉로 13(염곡동 300-9),
0,kt 신촌지사,동교동 157-1,
0,KTICC 목동센타,"목동동로 233-5, (목동)",
0,KT강북네트워크운영단,언주로 616(논현동 261-1),
0,KT노원지사,"노해로 502(상계6,7동 723)",
0,KT성수지점,광나루로 341,서울 광진구 광나루로 341
0,LG서초에클라트,반포대로14길 71(서초동 1599-2),
0,LG신도림자이,"새말로18길 64(구로동,LG신도림자이아파트)",
0,LG전자 가산 R&D 캠퍼스,가산디지털1로 51(가산동 327-23),
0,LG전자 가산A,디지털로10길 56(가산동 219-24),
